date,place,sender,receiver,repository,idno,locus,word_count,summary
1570-09-01,Parigi,Vincenzo da Castello,Bartolomeo Concino,Archivio di Stato di Firenze,551,236r-239r,5380,"Avvisi dated September 1, 1570, reporting on French court affairs. It details the slow implementation of peace agreements with Huguenots, German mercenaries delayed at borders awaiting payment, and continued violence despite official peace. The letter describes Cardinal of Lorraine's opposition to peace execution, the financial crisis with the King extracting funds from churches and creating new taxes, and military reductions. Court intrigues involving the Duke of Guise, Admiral Coligny's rising reputation, Catherine de Medici's support for the Grand Duke of Tuscany, concerns about alliances between Spain, the Emperor and the Pope, and turmoil in the Saluzzo border region are also reported."
1570-09-11,Parigi,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,562,f. 3,3348,"Extensive letter sent from Paris to Cosimo I de’ Medici. Cavriana reports on diplomatic tensions at the French court. He highlights the rise of a hostile faction supported by a powerful courtier, warns of anti-Medici sentiment, and stresses the need for strategic caution. He discusses the Queen Mother’s favourable disposition, the importance of Montmorency’s support, and efforts to influence the court of Savoy. Cavriana pleads for recognition of his loyalty and renews his request for the Order of Santo Stefano."
1570-09-11,Parigi,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,554,3r-5r,3826,"Cosimo's new title, including information about various factions and diplomatic relations."
1570-09-14,Parigi,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,562,2r,436,Letter thanking Cosimo I for allowing Cavriana to join the Order of Santo Stefano and expressing his commitment to serve both the Duke and the Order.
1570-10-03,Parigi,Filippo Cavriana,Bartolomeo Concino,Archivio di Stato di Firenze,555,331r-331v,912,Letter discussing Cavriana's investiture into the Order of Santo Stefano and his gratitude towards the Grand Duke.
1570-11-02,San Germano di Pre,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,562,47r-47v,859,Neatly-written letter informing Cosimo I about Cavriana's investiture into the Order of Santo Stefano and expressing gratitude for this honor.
1570-11-02,Saint-Germain-des-Prés,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,555,336r-336v,894,Letter to the Grand Duke regarding Cavriana's investiture into the Order of Santo Stefano in France
1570-11-02,Saint-Germain-des-Prés,Filippo Cavriana,Bartolomeo Concino,Archivio di Stato di Firenze,555bis,336r-336v,864,Letter discussing Cavriana's investiture into the Order of Santo Stefano in France
1570-11-09,Parigi,Filippo Cavriana,Bartolomeo Concino,Archivio di Stato di Firenze,555,fol. 343r,278,Cavriana expresses his loyalty and devotion to serving the religion.
1571-01-14,Parigi,Filippo Cavriana,Bartolomeo Concino,Archivio di Stato di Firenze,4726a,7r-10v,3903,"Cavriana, writing from Paris, asks Concino to obtain permission for him to make his profession as a Knight of Santo Stefano locally rather than in Pisa. He describes a delicate conversation with his patron, the Duke of Nevers, who refuses to address Cosimo I with the title of Grand Duke of Tuscany until it is confirmed by Emperor Maximilian II. Cavriana explains the need to engage imperial support, praises Cosimo's influence, and requests Concino's mediation. A substantial post-script reports Huguenot unrest in Picardy and a precedence dispute between the Dukes of Nemours and Longueville linked to Madame di Ferrara's cession of Montargis and Breton estates."
1571-04-18,Parigi,Filippo Cavriana,Cosimo I de' Medici,Archivio di Stato di Firenze,554,130r,328,Cavriana informs Cosimo I about Monsignor Salviati's return to Italy and offers his services.
1571-07-15,Bagni di Lucca,Filippo Cavriana,Duke of Mantua,Archivio di Stato di Mantova,b654,fol. 336r,326,Cavriana writes from the baths of Lucca expressing his devotion and service to the Duke.
